Poisonous,Cap-shape,Cap-surface,Cap-color,Bruises,Odor,Gill-attachment,Gill-spacing,Gill-size,Gill-color,Stalk-shape,Stalk-root,Stalk-surface-above-ring,Stalk-surface-below-ring,Stalk-color-above-ring,Stalk-color-below-ring,Veil-type,Veil-color,Ring-number,Ring-type,Spore-print-color,Population,Habitat,epsilon
e,f,s,c,f,m,a,c,b,k,e,?,y,y,e,c,p,o,t,f,n,y,m,2.0
e,b,s,w,t,s,a,w,n,y,t,c,y,y,b,e,p,y,o,l,n,y,m,2.0
e,b,y,g,t,m,f,w,b,h,e,?,k,y,y,p,p,o,o,l,h,n,w,2.0
e,c,y,u,f,l,a,c,b,p,t,e,s,k,e,b,p,y,n,l,u,n,g,2.0
p,k,g,g,t,n,f,c,b,n,t,?,s,y,p,n,p,w,o,n,k,s,p,2.0
e,k,y,b,t,a,a,c,b,y,e,e,y,y,w,c,p,w,o,p,b,v,w,2.0
e,f,g,y,f,f,a,w,n,p,e,e,f,s,b,n,p,w,o,e,n,c,l,2.0
p,s,f,g,f,c,f,c,n,w,e,r,s,y,w,n,p,w,t,l,u,a,w,2.0
e,f,y,n,f,n,f,w,b,h,e,e,s,s,y,g,p,o,o,l,w,v,p,2.0
p,c,s,p,t,c,a,w,n,w,e,?,f,f,c,n,p,y,t,f,o,y,l,2.0
e,f,s,b,f,y,f,c,b,w,e,r,s,k,e,n,p,y,n,f,o,c,l,2.0
e,k,y,b,t,y,f,c,n,w,t,c,s,y,w,g,p,y,n,p,y,c,m,2.0
e,x,g,y,f,c,a,c,n,h,e,e,f,k,g,p,p,n,n,f,r,v,m,2.0
e,k,g,b,f,l,a,c,b,e,e,b,y,y,c,c,p,y,o,l,b,c,w,2.0
p,x,g,b,f,c,a,c,n,k,e,r,f,s,c,p,p,o,o,l,n,y,p,2.0
e,c,f,u,f,n,a,c,n,h,e,r,k,k,b,c,p,o,n,p,n,c,m,2.0
p,b,f,g,t,c,f,w,n,w,t,?,f,y,g,p,p,y,o,f,n,y,w,2.0
e,x,s,w,t,a,f,w,n,g,e,b,y,s,w,c,p,n,t,f,k,c,d,2.0
p,b,g,p,f,p,f,w,n,h,t,r,f,k,o,y,p,o,t,l,o,y,p,2.0
p,f,y,p,t,c,a,c,b,r,t,b,k,s,b,b,p,w,o,f,h,y,d,2.0
e,k,s,g,f,a,a,w,n,k,t,b,k,s,g,c,p,o,n,p,y,s,u,2.0
e,x,g,c,t,l,a,c,b,n,e,?,f,s,w,w,p,o,n,l,h,y,m,2.0
e,f,f,p,f,f,f,w,n,k,e,c,f,f,e,g,p,n,o,f,w,n,m,2.0
p,s,g,g,t,p,a,c,b,w,t,e,k,k,g,w,p,y,n,f,u,s,u,2.0
p,b,f,n,t,l,f,w,n,k,t,r,f,y,n,w,p,w,t,l,u,s,w,2.0
e,x,g,y,t,p,f,w,b,u,e,r,f,k,w,p,p,w,t,n,b,v,u,2.0
e,b,g,e,t,l,f,c,b,e,e,r,s,y,p,p,p,y,n,n,o,a,p,2.0
e,f,y,w,f,n,a,c,n,u,t,?,k,k,w,p,p,o,o,e,h,c,m,2.0
e,x,y,b,t,s,a,w,b,r,t,e,s,y,y,p,p,w,n,e,n,s,d,2.0
e,k,s,g,t,p,f,w,b,g,t,r,k,k,p,g,p,o,t,e,y,v,p,2.0
p,f,f,w,f,p,f,w,b,k,e,c,y,f,y,y,p,y,n,e,w,v,p,2.0
e,k,f,c,f,p,f,w,n,w,t,e,s,s,p,g,p,w,n,p,h,y,m,2.0
e,k,g,b,f,y,a,w,b,r,t,r,y,f,e,b,p,o,n,f,w,y,p,2.0
p,k,y,w,f,n,f,c,b,r,e,?,f,s,p,e,p,o,n,l,k,y,w,2.0
e,f,s,c,t,m,a,w,n,r,t,b,s,f,b,c,p,w,t,n,y,n,u,2.0
p,c,g,e,t,a,a,w,b,h,e,?,k,s,n,e,p,y,o,f,u,n,g,2.0
e,s,g,r,t,n,f,c,n,w,t,c,k,y,e,o,p,y,o,p,o,s,g,2.0
e,f,f,c,f,a,a,c,n,y,e,b,k,s,p,g,p,n,o,f,u,n,m,2.0
p,k,y,e,f,f,f,w,n,b,t,c,y,y,y,p,p,o,n,p,b,c,l,2.0
p,x,g,e,f,c,a,w,b,n,e,b,k,s,w,c,p,w,t,l,k,v,l,2.0
p,f,f,c,f,f,a,w,b,h,t,?,y,k,g,w,p,o,o,n,y,s,g,2.0
e,s,f,u,t,a,a,c,b,r,e,?,y,k,y,b,p,o,t,l,o,v,l,2.0
e,f,y,w,f,s,f,c,b,u,t,?,y,k,o,b,p,y,t,p,u,c,g,2.0
p,b,g,e,t,p,f,w,b,b,e,c,k,s,y,c,p,o,o,e,w,n,p,2.0
p,c,g,e,t,s,a,c,n,o,t,b,k,y,e,y,p,w,t,p,h,y,p,2.0
e,b,s,g,f,a,f,c,b,e,t,r,f,y,p,c,p,y,t,p,b,n,w,2.0
p,b,s,p,f,n,f,w,n,u,t,b,s,f,o,o,p,w,t,l,u,s,w,2.0
p,f,y,y,t,a,f,w,n,y,t,b,k,k,p,c,p,y,o,l,n,c,p,2.0
p,s,g,u,f,s,a,w,n,g,e,b,k,k,c,g,p,n,n,f,k,a,g,2.0
p,s,s,e,f,a,f,c,b,b,t,c,y,f,b,o,p,w,o,p,o,n,w,2.0
p,k,f,w,f,n,f,w,n,w,e,b,y,f,o,w,p,n,o,n,n,a,m,2.0
p,b,g,p,f,m,f,c,n,r,e,r,y,f,o,n,p,y,n,n,u,s,w,2.0
e,c,g,c,f,s,f,w,n,n,e,r,y,s,e,c,p,y,o,p,h,n,w,2.0
e,b,g,w,f,a,f,w,n,h,e,e,k,k,b,b,p,n,o,e,n,s,d,2.0
p,b,g,u,f,s,f,w,b,p,e,r,f,s,o,e,p,n,t,f,o,n,l,2.0
e,s,g,y,f,c,a,c,n,h,e,r,k,f,e,e,p,y,o,l,y,v,u,2.0
e,x,f,y,t,c,f,c,n,n,t,?,f,k,n,c,p,n,o,l,r,c,d,2.0
e,x,g,c,t,a,f,c,n,h,t,r,s,s,g,n,p,y,t,l,u,n,l,2.0
e,k,y,c,f,c,f,w,b,w,t,b,s,k,e,o,p,n,o,l,h,a,g,2.0
p,s,s,u,t,a,a,c,n,g,t,e,f,f,c,g,p,y,t,p,u,n,w,2.0
e,f,s,r,t,s,f,c,b,y,e,r,s,s,w,g,p,o,t,f,r,s,g,2.0
p,f,s,e,t,l,f,w,b,b,t,e,y,s,b,w,p,y,t,l,r,s,p,2.0
p,k,s,g,f,a,f,c,b,r,e,c,s,f,y,g,p,y,t,e,h,v,d,2.0
e,x,s,w,f,s,f,c,b,w,t,c,f,s,e,e,p,y,o,e,r,v,g,2.0
e,b,y,n,f,s,f,c,b,r,e,b,y,f,e,c,p,o,n,e,u,c,g,2.0
p,k,y,p,f,p,f,c,b,n,e,r,s,y,w,e,p,y,o,n,o,v,u,2.0
e,x,g,e,f,n,a,c,b,h,t,b,f,f,g,o,p,o,n,n,w,v,d,2.0
p,b,s,g,f,s,a,w,n,h,e,r,f,y,y,y,p,y,n,p,u,c,u,2.0
e,s,y,n,t,l,f,c,b,e,t,c,y,k,o,g,p,y,n,f,k,v,w,2.0
p,s,f,c,f,y,f,c,n,b,e,c,f,k,y,p,p,w,t,n,b,v,w,2.0
p,f,g,c,t,n,f,w,b,u,t,r,y,f,w,e,p,w,t,p,h,y,w,2.0
p,b,f,c,t,l,f,c,b,y,e,b,f,y,w,p,p,w,t,l,r,n,u,2.0
e,c,g,y,t,s,a,c,b,k,e,?,y,s,n,g,p,o,n,p,k,s,l,2.0
e,f,g,n,f,l,f,c,n,h,e,e,k,f,e,p,p,o,t,n,h,s,p,2.0
p,x,y,b,f,c,a,c,b,w,t,r,k,k,o,p,p,w,t,p,n,s,g,2.0
e,b,f,u,f,f,a,c,n,e,t,c,s,k,w,e,p,n,o,n,h,s,p,2.0
p,f,s,c,f,y,f,w,n,p,e,c,s,k,g,o,p,o,n,l,h,n,u,2.0
e,x,s,g,t,p,f,c,b,u,e,e,k,k,o,c,p,y,o,p,w,s,m,2.0
e,k,s,n,t,l,a,c,n,h,t,b,y,s,c,w,p,n,n,l,b,v,l,2.0
e,b,f,c,f,a,a,c,b,e,t,?,s,k,n,b,p,w,t,n,n,v,g,2.0
p,f,g,u,f,a,a,w,b,k,t,r,f,f,n,c,p,n,t,e,r,c,p,2.0
p,k,s,b,f,s,f,w,b,p,e,e,f,f,p,e,p,n,o,p,n,c,l,2.0
p,s,y,e,t,p,f,c,b,k,e,e,s,k,p,n,p,o,n,f,h,c,p,2.0
e,f,s,p,f,c,a,w,b,b,t,?,f,k,n,c,p,w,o,p,o,y,l,2.0
e,f,s,e,f,m,a,w,b,k,e,e,s,y,c,n,p,o,o,f,u,y,l,2.0
p,f,g,y,t,n,f,w,n,b,e,c,k,f,n,n,p,w,o,e,w,a,m,2.0
e,f,s,u,f,y,a,w,n,u,e,?,f,k,c,y,p,y,t,p,r,v,d,2.0
e,f,s,u,t,s,f,c,n,w,t,e,s,s,b,y,p,y,t,f,y,c,d,2.0
e,x,f,g,t,f,a,w,b,h,e,?,k,s,e,p,p,w,n,l,o,y,m,2.0
p,s,y,r,f,l,a,c,n,n,t,c,f,s,e,g,p,y,n,f,o,y,l,2.0
p,f,g,b,f,l,f,w,n,u,t,c,s,f,b,o,p,y,t,e,b,a,g,2.0
e,f,g,b,f,y,a,w,n,o,t,b,f,f,c,o,p,o,o,p,h,v,g,2.0
e,c,f,r,t,f,f,w,n,r,t,?,y,s,g,c,p,n,t,f,u,v,w,2.0
p,x,f,b,f,n,a,w,n,b,e,e,f,f,e,n,p,o,t,e,o,a,p,2.0
e,s,y,n,t,a,f,c,n,y,e,e,s,f,y,g,p,n,t,n,h,a,g,2.0
e,b,s,u,t,c,f,w,b,o,e,r,y,k,e,p,p,n,t,l,b,y,g,2.0
e,s,f,g,f,l,f,w,b,h,e,b,k,y,p,p,p,w,o,p,r,a,g,2.0
e,k,y,c,f,p,a,w,n,n,t,b,s,f,y,p,p,o,t,p,k,s,d,2.0
p,x,y,y,t,c,f,w,b,o,t,?,k,y,e,y,p,o,n,f,h,y,l,2.0
p,c,y,u,f,f,f,w,n,g,e,?,k,f,p,c,p,w,t,p,w,s,u,2.0
e,x,y,c,f,m,f,c,b,b,e,r,k,y,p,p,p,y,t,f,u,a,g,2.0
e,c,g,y,f,f,a,w,n,y,e,r,k,f,c,p,p,w,o,l,w,a,l,2.0
e,c,f,y,t,l,f,w,n,w,t,b,f,k,w,p,p,o,o,n,r,n,m,2.0
p,x,g,g,f,y,f,w,b,u,t,c,y,y,p,p,p,y,t,p,b,a,g,2.0
e,x,f,w,t,l,f,c,b,b,e,e,f,f,e,o,p,o,n,l,h,a,l,2.0
e,c,s,u,t,f,a,c,b,n,t,r,s,k,c,y,p,y,n,n,n,v,p,2.0
p,s,y,p,f,y,f,w,n,w,t,c,k,k,g,c,p,w,n,n,r,y,g,2.0
e,c,f,y,f,a,f,w,b,n,t,?,y,y,o,n,p,n,o,n,b,v,m,2.0
e,s,s,p,f,m,f,w,b,y,t,b,y,k,g,c,p,y,n,l,r,s,w,2.0
e,x,y,c,t,f,f,c,n,w,t,e,f,s,w,n,p,n,t,l,b,y,g,2.0
e,c,g,e,f,f,f,c,b,h,t,e,f,f,y,y,p,y,t,f,w,y,p,2.0
p,k,g,e,f,l,f,c,n,e,t,r,y,f,y,y,p,o,t,e,b,c,g,2.0
p,b,f,r,f,f,f,c,b,b,t,r,s,f,p,p,p,o,n,e,n,n,g,2.0
e,b,f,p,f,p,a,w,n,h,e,c,k,y,c,p,p,o,t,p,b,y,g,2.0
p,s,y,y,f,f,a,w,b,e,e,c,k,s,g,c,p,y,n,p,n,v,l,2.0
e,x,f,b,f,m,a,c,n,r,e,e,k,f,b,o,p,n,n,l,o,y,l,2.0
p,f,s,p,f,n,a,c,b,w,t,e,s,k,g,c,p,w,t,f,n,n,l,2.0
e,x,g,p,t,s,a,w,n,w,e,c,y,k,g,b,p,n,o,p,b,a,m,2.0
e,f,y,u,t,m,a,w,n,e,e,r,s,s,e,b,p,o,n,e,y,s,g,2.0
p,f,s,r,t,f,f,c,b,u,e,r,y,s,y,b,p,y,n,l,n,s,g,2.0
p,x,f,e,f,p,f,c,n,u,t,r,y,y,y,g,p,y,o,f,b,n,l,2.0
e,c,f,p,f,y,f,c,b,y,e,e,f,k,w,g,p,o,o,n,w,c,u,2.0
e,s,f,u,f,p,f,c,b,g,t,r,s,s,b,e,p,w,t,l,n,n,u,2.0
p,x,y,y,t,n,a,w,b,g,e,b,k,s,g,n,p,y,t,f,u,c,m,2.0
e,x,f,b,t,a,f,c,b,e,e,?,y,k,c,y,p,o,n,l,u,y,u,2.0
e,c,y,e,f,a,f,w,n,h,t,c,y,f,g,p,p,o,n,n,b,a,m,2.0
p,b,y,b,t,l,a,w,n,o,t,?,y,s,g,o,p,o,t,f,w,n,g,2.0
p,x,y,e,t,y,f,w,b,g,t,r,k,y,g,g,p,n,t,e,h,n,d,2.0
p,b,g,c,f,l,f,w,b,k,e,b,f,f,w,g,p,n,n,l,n,n,p,2.0
e,b,f,b,f,c,f,w,n,e,t,e,s,s,y,n,p,y,t,l,n,c,m,2.0
p,b,g,w,f,p,f,c,n,n,e,?,y,k,p,g,p,y,n,e,h,s,p,2.0
e,b,y,y,t,n,a,w,n,o,t,r,f,k,w,o,p,y,n,l,b,v,d,2.0
p,k,s,n,t,a,a,c,b,u,e,c,y,s,c,n,p,w,o,p,b,c,l,2.0
e,f,s,b,t,l,a,c,n,g,e,b,k,y,w,b,p,n,n,e,h,y,w,2.0
e,x,s,n,f,l,a,c,b,r,e,r,s,s,g,e,p,y,n,n,h,s,m,2.0
e,b,g,p,f,s,a,c,b,r,e,b,k,f,c,o,p,n,n,p,k,y,u,2.0
e,b,y,y,t,l,a,w,n,y,e,c,k,f,e,p,p,y,n,p,w,v,p,2.0
p,k,g,e,t,p,a,c,b,e,e,b,s,k,n,c,p,y,n,f,o,a,m,2.0
e,s,s,e,f,n,a,w,b,u,t,r,f,y,o,y,p,w,o,l,u,n,p,2.0
p,x,g,c,f,l,a,w,n,b,e,?,k,y,e,g,p,y,t,e,h,a,m,2.0
e,k,g,p,t,n,f,w,b,r,e,c,s,s,w,y,p,w,n,p,h,v,w,2.0
e,x,s,g,t,p,f,w,b,g,t,c,s,k,b,w,p,w,o,f,o,y,p,2.0
p,s,s,b,t,a,f,w,b,h,e,c,f,f,e,p,p,y,t,e,b,a,l,2.0
e,f,s,w,f,a,f,c,n,e,t,r,f,k,p,y,p,o,t,e,w,n,m,2.0
e,x,s,y,f,p,a,w,n,h,e,?,f,s,n,p,p,n,t,n,n,a,d,2.0
e,c,g,w,f,y,a,w,b,r,t,r,s,y,o,n,p,y,n,p,w,s,m,2.0
p,x,y,g,f,y,f,c,n,k,e,e,s,y,g,p,p,y,o,e,w,n,d,2.0
p,x,f,c,f,p,f,c,n,b,e,c,k,s,o,o,p,w,t,l,r,v,u,2.0
p,b,g,r,t,f,a,c,n,u,t,e,k,k,y,p,p,w,n,e,u,c,d,2.0
p,s,y,u,t,y,a,c,b,p,e,c,k,f,n,p,p,o,t,n,h,y,m,2.0
p,k,y,p,f,f,f,c,b,o,e,b,k,y,o,o,p,w,o,f,h,y,m,2.0
e,b,f,e,f,m,f,w,b,b,e,e,y,k,y,b,p,n,n,l,b,n,l,2.0
p,k,s,e,t,s,a,c,n,u,t,b,k,k,g,y,p,o,n,n,b,n,l,2.0
e,f,f,g,t,n,f,w,n,o,t,b,k,k,p,w,p,o,n,e,h,n,g,2.0
e,b,s,g,f,l,a,w,n,p,t,c,f,s,e,o,p,w,t,n,y,a,w,2.0
p,s,f,n,t,n,f,c,n,u,t,b,y,s,n,n,p,n,n,n,w,s,m,2.0
p,s,y,b,t,f,f,w,n,y,e,?,f,y,g,o,p,o,o,e,w,a,m,2.0
e,x,s,e,t,n,a,w,n,g,t,e,k,k,g,y,p,n,o,n,u,c,p,2.0
p,k,y,p,t,p,a,c,b,n,e,r,s,y,y,o,p,w,t,l,k,c,m,2.0
e,f,y,u,f,n,f,w,b,y,e,e,s,k,p,y,p,y,o,n,o,s,p,2.0
p,k,g,r,t,c,a,w,b,u,t,r,y,k,o,g,p,y,o,e,b,n,g,2.0
e,f,s,g,f,c,a,w,n,k,t,?,k,s,y,p,p,o,t,n,o,s,d,2.0
p,f,g,p,t,m,f,w,n,b,e,r,y,f,c,o,p,y,n,n,r,y,d,2.0
p,f,f,n,f,f,a,c,n,w,t,e,y,k,b,y,p,y,o,e,k,s,m,2.0
e,b,y,r,t,n,a,w,b,u,e,c,k,s,w,b,p,n,n,p,b,y,p,2.0
p,x,g,e,f,y,f,w,n,k,t,b,f,f,p,e,p,w,t,l,n,c,g,2.0
e,c,s,y,f,s,a,w,n,w,e,b,s,y,o,e,p,n,o,e,h,y,u,2.0
e,x,g,w,f,p,f,w,b,w,e,r,s,y,c,o,p,w,n,f,u,y,m,2.0
e,s,s,u,t,f,f,c,b,n,e,e,f,f,c,e,p,w,t,e,n,v,u,2.0
p,s,g,e,t,a,f,w,n,k,e,c,s,y,w,g,p,o,n,l,w,y,m,2.0
e,k,g,w,f,l,a,w,n,r,t,e,y,k,g,o,p,n,t,l,y,s,w,2.0
p,f,g,r,t,m,a,w,n,n,e,r,s,y,p,g,p,o,t,e,r,c,g,2.0
e,c,y,n,f,s,a,w,b,e,e,c,k,k,o,o,p,y,n,l,h,c,l,2.0
e,s,s,y,t,a,a,w,b,g,e,e,s,y,p,o,p,w,t,l,k,y,d,2.0
p,b,f,n,f,l,f,c,n,e,e,e,s,y,w,e,p,y,o,p,w,a,u,2.0
p,x,f,w,f,m,f,w,b,n,e,r,k,s,p,w,p,w,o,p,b,s,w,2.0
e,c,y,y,t,c,f,c,b,y,e,c,k,s,g,n,p,n,n,p,n,a,u,2.0
e,b,f,r,t,p,f,w,n,k,e,e,k,k,w,w,p,o,t,f,y,v,p,2.0
e,s,s,w,t,a,f,c,n,o,e,e,y,f,o,n,p,n,o,n,h,a,g,2.0
e,k,s,g,f,c,a,w,b,n,e,r,s,k,w,n,p,y,o,e,w,n,g,2.0
p,c,g,y,f,m,f,c,n,h,t,c,s,y,p,e,p,o,t,l,r,v,g,2.0
e,s,y,r,t,f,f,c,b,p,t,c,y,k,g,c,p,o,t,e,o,s,g,2.0
p,f,s,b,f,m,a,c,b,w,t,e,y,s,n,n,p,y,t,p,y,a,l,2.0
p,b,y,u,f,f,f,c,n,y,t,?,k,s,b,e,p,w,o,p,n,y,u,2.0
e,s,g,c,f,s,f,c,b,e,t,r,s,k,b,y,p,y,n,p,n,v,g,2.0
e,f,f,c,f,a,a,c,n,g,t,c,y,y,o,y,p,o,o,e,u,n,m,2.0
p,b,g,r,f,l,a,c,n,k,e,b,f,f,b,p,p,w,t,p,r,s,w,2.0
e,k,s,u,t,f,a,c,b,k,e,c,f,k,b,e,p,y,t,l,k,c,u,2.0
e,x,g,b,f,a,a,w,b,k,t,b,f,y,w,c,p,o,o,l,o,n,g,2.0
p,f,y,c,t,y,f,w,b,n,t,r,k,s,b,w,p,w,o,f,u,n,l,2.0
e,s,y,c,f,n,f,c,n,o,t,c,k,y,b,g,p,n,o,l,b,y,w,2.0
e,s,f,r,f,f,a,c,b,p,e,c,s,s,g,y,p,o,t,f,o,n,g,2.0
e,c,s,c,f,f,f,c,b,k,t,c,f,s,b,o,p,y,n,l,r,c,w,2.0
p,b,f,p,f,n,f,w,n,g,t,b,y,k,o,o,p,w,t,f,n,v,u,2.0
e,c,g,e,f,f,f,w,n,g,e,r,s,s,c,n,p,w,o,p,o,n,g,2.0
e,c,s,r,t,f,a,w,b,w,t,b,s,k,y,g,p,y,o,l,h,n,m,2.0
p,s,g,n,f,c,f,w,n,h,t,r,y,k,b,o,p,y,n,e,y,n,g,2.0
e,f,g,g,t,y,a,c,b,p,e,e,s,s,w,o,p,w,o,n,r,s,p,2.0
p,b,f,p,t,y,a,c,b,h,t,c,s,s,g,c,p,y,t,n,y,n,m,2.0
e,b,s,n,f,l,a,w,n,o,t,e,k,f,p,e,p,y,o,n,b,y,d,2.0
p,b,g,r,t,a,a,w,n,n,t,r,y,y,g,w,p,w,n,e,w,v,w,2.0
e,k,g,e,f,s,f,w,b,g,t,c,f,k,g,p,p,o,o,l,h,v,w,2.0
e,f,s,r,f,s,a,w,n,b,t,e,s,k,y,o,p,y,n,f,b,n,u,2.0
p,c,f,p,f,a,f,c,b,b,e,c,f,f,g,n,p,o,t,n,w,y,u,2.0
e,f,g,u,f,s,f,c,b,y,e,b,s,y,b,n,p,y,t,p,u,s,p,2.0
e,f,s,r,t,m,f,w,b,g,t,?,f,k,y,c,p,y,t,f,y,v,m,2.0
e,s,y,r,f,m,a,c,b,h,e,c,k,y,g,w,p,n,t,f,k,v,d,2.0
e,c,s,b,t,y,a,c,n,o,t,?,f,s,g,w,p,n,t,f,y,n,m,2.0
p,f,f,y,f,m,f,w,b,k,t,e,y,k,w,b,p,n,n,e,n,c,d,2.0
e,b,s,y,t,a,f,w,n,p,t,e,y,s,e,c,p,w,n,l,y,y,w,2.0
p,x,g,w,f,c,f,c,n,n,e,e,k,y,e,o,p,n,t,f,o,y,g,2.0
p,x,y,n,f,a,a,w,b,e,e,?,y,k,g,n,p,n,o,n,n,v,w,2.0
e,f,g,w,f,l,a,w,b,u,t,e,y,y,c,g,p,w,t,p,o,v,l,2.0
e,s,g,y,t,s,a,c,n,y,e,b,y,s,n,e,p,n,o,e,y,v,p,2.0
p,f,s,e,t,l,a,w,b,g,e,?,y,s,c,g,p,y,n,e,k,s,d,2.0
e,b,f,b,f,a,a,w,b,r,e,e,f,y,e,g,p,n,o,e,y,v,l,2.0
p,s,s,w,f,f,f,c,b,k,t,c,y,s,e,n,p,w,n,e,u,c,g,2.0
e,k,g,g,t,a,a,c,n,o,t,r,s,s,n,n,p,y,n,e,u,v,l,2.0
p,s,g,p,t,n,a,w,n,b,e,e,k,f,g,y,p,y,n,l,b,v,d,2.0
e,s,s,y,f,c,a,w,b,u,t,e,f,y,n,y,p,n,o,l,h,y,m,2.0
p,b,s,e,f,s,f,c,b,b,t,e,s,k,e,e,p,w,n,l,o,y,p,2.0
e,b,y,u,f,s,f,c,n,k,e,b,k,y,y,n,p,y,o,p,y,s,g,2.0
p,x,s,c,t,f,a,c,b,r,t,c,f,f,e,w,p,n,o,p,w,c,l,2.0
e,f,g,w,f,p,a,w,n,y,e,?,s,y,e,g,p,w,n,p,n,a,m,2.0
p,x,y,b,f,p,a,w,b,o,e,r,f,y,o,n,p,w,o,l,h,n,p,2.0
e,s,y,b,f,p,a,c,n,h,e,b,s,s,y,y,p,y,o,n,b,c,g,2.0
e,k,y,u,t,s,a,w,b,k,e,b,s,y,g,e,p,n,n,n,k,s,u,2.0
p,s,f,u,t,p,a,w,b,g,e,c,s,f,c,b,p,n,n,n,h,n,d,2.0
p,f,g,p,t,n,f,c,b,y,e,r,s,f,b,w,p,o,t,p,n,c,w,2.0
e,s,g,c,f,n,a,w,n,n,e,e,y,s,g,p,p,n,t,l,k,s,p,2.0
e,x,f,n,f,p,f,c,b,w,e,e,k,f,e,c,p,n,o,l,b,n,w,2.0
p,b,f,c,f,y,a,c,b,b,e,?,k,f,b,c,p,y,o,l,y,a,m,2.0
p,k,s,r,f,m,f,c,n,y,t,r,k,s,g,o,p,y,t,p,n,n,d,2.0
p,s,s,e,t,f,f,c,n,w,t,r,f,s,e,y,p,n,o,e,w,n,w,2.0
p,x,g,c,t,s,f,w,b,k,e,r,f,f,e,y,p,n,n,e,b,a,w,2.0
p,k,g,e,t,a,a,w,n,g,t,c,y,k,g,b,p,o,t,e,r,y,m,2.0
p,f,s,u,f,f,a,w,n,u,e,?,y,s,e,c,p,n,n,p,h,v,m,2.0
p,f,y,c,f,p,a,c,n,g,t,b,f,k,n,p,p,o,n,n,w,c,w,2.0
e,f,y,r,t,m,a,w,b,n,e,c,f,f,p,p,p,y,n,n,r,c,g,2.0
e,x,f,b,t,y,f,w,b,k,e,e,k,s,y,w,p,n,t,p,y,v,g,2.0
e,c,f,b,t,y,a,c,n,p,e,e,k,f,y,o,p,o,o,e,k,v,d,2.0
e,c,g,u,t,l,f,w,b,g,t,?,y,k,e,n,p,y,n,f,u,s,l,2.0
p,s,f,y,f,c,a,w,n,k,t,b,k,f,g,b,p,o,n,l,k,y,m,2.0
e,f,y,e,f,f,f,c,n,h,t,c,k,y,y,o,p,y,n,l,h,s,m,2.0
p,f,g,g,t,l,a,w,b,y,t,b,s,y,e,w,p,y,n,n,u,v,p,2.0
e,c,g,e,t,y,f,c,b,p,e,?,f,f,g,y,p,w,n,l,w,s,w,2.0
e,b,s,e,f,c,a,c,b,u,t,r,f,y,e,e,p,n,o,n,b,n,p,2.0
p,f,s,y,f,l,a,w,b,n,t,b,f,f,g,n,p,w,t,p,y,s,u,2.0
p,s,g,c,t,m,a,c,b,y,t,c,y,s,n,e,p,o,o,e,u,v,p,2.0
p,c,y,b,f,f,f,c,b,g,t,?,f,y,e,b,p,w,t,n,h,s,l,2.0
p,x,s,y,t,l,f,w,n,h,t,r,s,s,n,g,p,n,n,e,r,v,m,2.0
e,x,f,u,f,y,a,w,n,k,e,b,k,s,o,b,p,n,t,f,r,a,p,2.0
e,s,y,u,f,a,f,c,b,w,t,e,f,k,c,o,p,o,o,f,u,n,g,2.0
p,b,g,p,t,s,a,c,n,n,e,r,f,y,c,c,p,y,o,n,h,n,g,2.0
p,c,f,p,f,y,f,w,b,h,e,c,k,y,p,y,p,n,t,f,h,a,d,2.0
e,f,y,g,t,n,f,w,n,g,t,e,f,f,c,y,p,w,t,p,r,n,p,2.0
e,s,s,p,f,n,f,w,n,y,t,?,k,y,p,w,p,n,t,n,h,s,g,2.0
e,b,y,g,t,l,a,c,n,b,e,e,y,f,e,b,p,n,o,p,k,n,p,2.0
p,s,s,p,f,l,f,c,n,h,t,r,y,y,b,c,p,y,o,n,y,c,u,2.0
e,s,g,n,t,n,a,c,b,u,e,b,k,y,b,e,p,n,o,p,b,c,w,2.0
e,x,y,p,t,p,f,w,n,p,e,r,y,s,b,n,p,w,n,e,w,c,g,2.0
e,x,y,y,f,a,f,w,b,g,t,?,y,s,c,b,p,n,t,l,n,s,w,2.0
p,k,s,e,t,p,f,c,n,b,t,?,f,y,y,n,p,w,n,f,w,n,g,2.0
e,k,s,g,t,m,f,w,n,p,e,e,y,y,y,y,p,y,t,p,o,n,d,2.0
p,k,g,n,f,y,a,c,b,r,t,e,f,y,n,w,p,o,n,p,r,y,d,2.0
p,k,s,p,f,f,f,w,n,k,t,c,y,y,e,e,p,n,o,p,w,c,d,2.0
p,x,s,c,t,y,a,w,n,e,e,e,k,s,p,o,p,o,n,p,h,c,g,2.0
e,b,s,n,f,y,a,c,b,r,e,e,s,f,n,n,p,w,o,n,n,v,w,2.0
e,k,s,r,f,c,f,w,n,h,t,c,s,k,o,c,p,o,n,f,h,n,m,2.0
e,f,f,w,f,l,a,c,n,h,t,?,f,f,p,p,p,n,t,l,y,a,l,2.0
e,k,f,g,f,n,f,w,n,g,e,e,y,y,b,o,p,n,t,e,r,c,p,2.0
e,s,g,g,f,a,f,w,b,g,e,b,y,k,e,e,p,o,t,p,w,v,g,2.0
e,f,f,w,t,y,f,w,n,n,t,c,f,s,b,n,p,n,n,p,w,c,p,2.0
p,k,y,u,f,n,f,w,b,u,t,?,y,f,y,w,p,o,o,n,k,n,l,2.0
e,s,f,u,f,a,f,c,b,u,t,b,s,k,p,w,p,o,t,l,k,a,l,2.0
e,b,s,e,t,s,a,w,n,n,t,?,s,f,o,b,p,o,o,l,k,a,u,2.0
